WebScraperOrder,ReleaseDate,Movie,ProductionBudget,DomesticGross,WorldwideGross
1669316501-1501,"Oct 15, 2010",Down Terrace,30000,9812,9812
1669316501-1502,Unknown,Paraphobia,30000,0,0
1669316501-1503,Unknown,The Molokans,29120,0,0
1669316501-1504,"Oct 19, 1994",Clerks,27000,3073428,3894240
1669316501-1505,"Dec 24, 1999",Pink Narcissus,27000,8231,8231
1669316501-1506,"Jan 27, 2017",Emily,27000,3547,3547
1669316501-1507,"Jun 30, 1972",Deep Throat,25000,45000000,45000000
1669316501-1508,"Aug 1, 1997",In the Company of Men,25000,2883661,2883661
1669316501-1509,"Jan 14, 2000",The Terrorist,25000,195043,195043
1669316501-1510,"Jul 17, 2015",Exeter,25000,0,489792
1669316501-1511,"Jun 13, 2003",Manito,25000,0,0
1669316501-1512,"Apr 21, 2015",Ten,25000,0,0
1669316501-1513,"Dec 1, 2015",Dutch Kills,25000,0,0
1669316501-1514,"Aug 1, 1991",Slacker,23000,1227508,1227508
1669316501-1515,Unknown,Dry Spell,22000,0,0
1669316501-1516,"Jan 11, 2002",Steel Spirit,20000,1860,1860
1669316501-1517,"Aug 9, 2019",Socrates,20000,0,849
1669316501-1518,Unknown,Flywheel,20000,0,0
1669316501-1519,"Jan 4, 2013",All Superheroes Must Die,20000,0,0
1669316501-1520,"Apr 21, 2015",The Front Man,20000,0,0
1669316501-1521,"Nov 25, 2011",The Ridges,17300,0,0
1669316501-1522,"Jun 2, 2006",The Puffy Chair,15000,194523,195254
1669316501-1523,"Apr 2, 2010",Breaking Upwards,15000,115592,115592
1669316501-1524,Unknown,Stories of Our Lives,15000,0,0
1669316501-1525,"Apr 11, 1997",Pink Flamingos,12000,413802,413802
1669316501-1526,"Apr 28, 2006",Grip: A Criminal's Story,12000,1336,1336
1669316501-1527,Unknown,Tin Can Man,12000,0,0
1669316501-1528,"Mar 9, 2001",Dayereh,10000,673780,683509
1669316501-1529,"Apr 28, 2006",Clean,10000,138711,138711
1669316501-1530,"Jul 6, 2001",Cure,10000,94596,286980
1669316501-1531,"May 28, 2004",On the Downlow,10000,1987,1987
1669316501-1532,"Apr 1, 1996",Bang,10000,527,527
1669316501-1533,"Aug 14, 2008",The Rise and Fall of Miss Thang,10000,401,401
1669316501-1534,"May 19, 2015",Family Motocross,10000,0,0
1669316501-1535,"Jan 13, 2012",Newlyweds,9000,4584,4584
1669316501-1536,"Feb 26, 1993",El Mariachi,7000,2040920,2041928
1669316501-1537,"Oct 8, 2004",Primer,7000,424760,841926
1669316501-1538,"May 26, 2006",Cavite,7000,70071,71644
1669316501-1539,Unknown,The Mongol King,7000,900,900
1669316501-1540,"Mar 1, 2022",Red 11,7000,0,0
1669316501-1541,"Apr 2, 1999",Following,6000,48482,240495
1669316501-1542,"Jul 13, 2005",Return to the Land of Wonders,5000,1338,1338
1669316501-1543,"Sep 29, 2015",A Plague So Pleasant,1400,0,0
1669316501-1544,"Aug 5, 2005",My Date With Drew,1100,181041,181041
1669316501-1545,"Mar 2, 2021",Neeras,86,0,0
1669316505-1546,"Sep 4, 2015",Heroes of Dirt,175000,0,0
1669316505-1547,"Jun 3, 2016",The Fits,170000,166425,169242
1669316505-1548,"Jun, 1979",Dolphin,170000,14000,14000
1669316505-1549,"Oct 23, 2015",Lumea e a mea,168000,0,29678
1669316505-1550,"Sep 11, 2009",The Horse Boy,160000,156612,156612
1669316505-1551,"Mar 1, 2002",The Calling,160000,32092,32092
1669316505-1552,"Jan 1, 1971",Sweet Sweetback's Baad Asssss Song,150000,15200000,15200000
1669316505-1553,"May 16, 2007",Once,150000,9445857,23151269
1669316505-1554,"Jul 19, 2002",Tadpole,150000,2891288,3270128
1669316505-1555,"Jun 23, 2000",The Woman Chaser,150000,110719,110719
1669316505-1556,"Apr 17, 2015",Antarctic Edge: 70º South,150000,7193,7193
1669316505-1557,"Aug 21, 2015",Top Spin,150000,5858,5858
1669316505-1558,"Dec 2, 2014",Speak No Evil,150000,0,247345
1669316505-1559,"Oct 6, 2009",A Charlie Brown Christmas,150000,0,0
1669316505-1560,"May 3, 2013",Aroused,150000,0,0
1669316505-1561,"Oct 18, 1974",The Texas Chainsaw Massacre,140000,26572439,26572439
1669316505-1562,"Dec 20, 1989",Roger & Me,140000,6706368,6706368
