Vocabulary,Community,Imports,Scope/definition
insiders,industry insiders,general,
general,general population,general,
investors,movie investors,general,Anyone involved in financing/funding movies incl investment aspect in Film Production Companies
Film Production,Film Production Companies,general,
specialized terms out of scope,movie theaters,general,
specialized terms out of scope,movie distributors,general,"wholesaler between producer and theater, works closely with producer to influence what gets made"
specialized terms out of scope,critics,general,
advertisers,advertisers,general,
,marketing,,
out of scope in terms of box office,product placement,,people placing their products in movies
specialized terms out of scope,critics,,
specialized terms out of scope,merchandiser,,
specialized terms out of scope,streaming companies,,
